EmpID,LastName,FirstName,TeamCode,PosCode,PlayerNo,Age,Weight,Height,YearsOfExp,College
54320,Jewell,Josey,DVB,LB,47,25,236,74,3,Iowa
10162,Bredeson,Ben,BLR,G,67,22,315,77,0,Michigan
75002,Ahmed,Salvon,MMD,RB,26,21,196,71,0,Washington
48462,Harris,Will,DTL,S,25,24,207,73,2,Boston College
67588,Gurley II,Todd,ATF,RB,21,26,224,73,6,Georgia
15350,Proche II,James,BLR,WR,11,24,201,71,0,SMU
52482,Ismael,Keith,WAS,C,60,22,309,75,0,San Diego State
95481,Jackson,Eddie,CHB,S,39,26,199,72,4,Alabama
15081,Harris,Demetrius,CHB,TE,86,29,258,79,7,Milwaukee
79243,Johnson,Kerryon,DTL,RB,33,23,211,71,3,Auburn
35104,McManis,Sherrick,CHB,S,27,32,203,71,11,Northwestern
24594,Blasingame,Khari,TNT,FB,41,24,233,72,2,Vanderbilt
91285,Peppers,Jabrill,NYG,S,21,25,215,71,4,Michigan
25938,Foster,D.J.,AZC,RB,37,26,205,72,5,Arizona State
14084,Fant,George,NYJ,OT,76,28,322,77,5,Western Kentucky
49931,Ragnow,Frank,DTL,C,77,24,311,77,3,Arkansas
39737,Sheard,Jabaal,NYG,DE,0,31,268,75,10,Pittsburgh
92886,Littleton,Cory,LVR,LB,42,26,228,75,5,Washington
10729,Callaway,Marquez,NOS,WR,12,22,204,74,0,Tennessee
26030,McKinnon,Jerick,SFN,RB,28,28,205,69,7,Georgia Southern
49778,Thompson,Darian,DLC,S,23,27,212,74,5,Boise State
36853,Washington,Broderick,BLR,DT,96,23,305,74,0,Texas Tech
42836,Gilman,Alohi,LAC,S,32,23,201,70,0,Notre Dame
83281,Thomas,Logan,WAS,TE,82,29,250,78,6,Virginia Tech
72366,Humphries,D.J.,AZC,OT,74,26,307,77,6,Florida
59577,Boyd,Kris,MNV,CB,29,24,200,71,2,Texas
66005,Wagner,Bobby,STS,LB,54,30,242,72,9,Utah State
44875,Bonds,Terrell,BLR,CB,38,24,182,68,1,Tennessee State
85291,Brate,Cameron,TBB,TE,84,29,245,77,6,Harvard
49231,Rodgers,Isaiah,INC,CB,34,22,170,70,0,Massachusetts
67600,Nabers,Gabe,LAC,FB,40,23,235,75,0,Florida State
30535,Watkins,Carlos,HST,DE,91,26,297,75,4,Clemson
13182,Collins Sr.,Jamie,DTL,LB,58,31,255,75,8,Southern Miss
